HUB,GERENCIA,Nombre Proyecto,Máscara PEP del proyecto,Especialidad,Código de MR,Ítem MR,Descripción del item,Área de instalación 1 (Sistema),Estado del Proceso de Aprovisionamiento,Proveedor,Fecha requerida,Fecha proyectada llegada,Estado de Inspección del Ítem,dias_atraso,semaforo
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-801,MEC._ACCESORIOS,176-MR-PI13-0575,45,ITEM DEMO 177 — MEC._ACCESORIOS,OFFSITES,EN TRÁNSITO,BETA INDUSTRIAL LTDA.,2023-07-23,2023-02-22,Liberado,-124,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-306,MEC._VÁLVULAS,177-MR-PI14-0144,13,ITEM DEMO 178 — MEC._VÁLVULAS,CRUDE UNIT,EN FABRICACIÓN,GAMMA SUPPLIES INC.,2024-02-01,2024-01-26,No Aceptado,214,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-871,MEC._VÁLVULAS,178-MR-PI14-0762,13,ITEM DEMO 179 — MEC._VÁLVULAS,UTILITIES,EN FABRICACIÓN,PROVEEDOR ALPHA S.A.,2023-08-22,2023-08-24,Rechazado,59,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-476,MEC._VÁLVULAS,179-MR-PI14-0547,26,ITEM DEMO 180 — MEC._VÁLVULAS,FLARE SYSTEM,OC EMITIDA,DELTA EQUIPOS S.A.S.,2023-07-19,2023-04-09,En programación,-78,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-609,MEC._TUBERÍA,180-MR-PI15-0476,34,ITEM DEMO 181 — MEC._TUBERÍA,UTILITIES,RECIBIDO EN SITIO,ZETA FITTINGS CORP.,2024-06-12,2024-01-19,Parcial liberado,207,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-942,MEC._TUBERÍA,181-MR-PI15-0284,35,ITEM DEMO 182 — MEC._TUBERÍA,UTILITIES,EN FABRICACIÓN,PROVEEDOR ALPHA S.A.,2023-03-12,2023-02-20,Liberado,-126,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-717,SEG._Y_SCI,182-MR-SC01-0834,28,ITEM DEMO 183 — SEG._Y_SCI,VACUUM UNIT,OC EMITIDA,GAMMA SUPPLIES INC.,2023-07-17,2023-04-19,Parcial liberado,-68,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-545,MEC._ACCESORIOS,183-MR-PI13-0381,41,ITEM DEMO 184 — MEC._ACCESORIOS,CRUDE UNIT,RECIBIDO EN SITIO,ZETA FITTINGS CORP.,2023-02-21,2022-12-23,Rechazado,-185,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-867,MEC._VÁLVULAS,184-MR-PI14-0795,11,ITEM DEMO 185 — MEC._VÁLVULAS,CRUDE UNIT,EN TRÁNSITO,EPSILON VALVES CO.,2023-08-26,2023-07-03,Rechazado,7,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-168,MEC._ACCESORIOS,185-MR-PI13-0341,50,ITEM DEMO 186 — MEC._ACCESORIOS,FLARE SYSTEM,EN FABRICACIÓN,GAMMA SUPPLIES INC.,2024-03-06,2024-02-19,Parcial liberado,238,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-795,INST._Y_CONTROL,186-MR-IN01-0560,24,ITEM DEMO 187 — INST._Y_CONTROL,UTILITIES,OC EMITIDA,PROVEEDOR ALPHA S.A.,2024-05-31,2023-10-20,No Aceptado,116,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-765,MEC._ACCESORIOS,187-MR-PI13-0385,16,ITEM DEMO 188 — MEC._ACCESORIOS,CRUDE UNIT,RECIBIDO EN SITIO,ZETA FITTINGS CORP.,2023-04-11,2023-02-17,No requiere inspección,-129,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-675,MEC._ACCESORIOS,188-MR-PI13-0220,17,ITEM DEMO 189 — MEC._ACCESORIOS,UTILITIES,OC EMITIDA,BETA INDUSTRIAL LTDA.,2023-10-13,2023-11-07,No Aceptado,134,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-238,MEC._VÁLVULAS,189-MR-PI14-0973,5,ITEM DEMO 190 — MEC._VÁLVULAS,OFFSITES,EN TRÁNSITO,ZETA FITTINGS CORP.,2023-06-26,2023-07-07,Parcial liberado,11,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-965,MEC._VÁLVULAS,190-MR-PI14-0427,43,ITEM DEMO 191 — MEC._VÁLVULAS,UTILITIES,RECIBIDO EN SITIO,EPSILON VALVES CO.,2024-06-24,2023-12-11,No Aceptado,168,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-828,MEC._ACCESORIOS,191-MR-PI13-0826,45,ITEM DEMO 192 — MEC._ACCESORIOS,FLARE SYSTEM,EN TRÁNSITO,GAMMA SUPPLIES INC.,2023-06-28,2023-04-02,No Aceptado,-85,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-911,MEC._ACCESORIOS,192-MR-PI13-0242,16,ITEM DEMO 193 — MEC._ACCESORIOS,OFFSITES,RECIBIDO EN SITIO,GAMMA SUPPLIES INC.,2023-05-25,2022-11-28,No Aceptado,-210,AMARILLO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-664,ELÉCTRICA,193-MR-EL01-0232,40,ITEM DEMO 194 — ELÉCTRICA,CRUDE UNIT,RECIBIDO EN SITIO,GAMMA SUPPLIES INC.,2023-11-20,2023-09-29,Parcial liberado,95,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-887,MEC._VÁLVULAS,194-MR-PI14-0519,37,ITEM DEMO 195 — MEC._VÁLVULAS,CRUDE UNIT,EN TRÁNSITO,GAMMA SUPPLIES INC.,2024-02-02,2024-02-07,Rechazado,226,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-629,INST._Y_CONTROL,195-MR-IN01-0452,9,ITEM DEMO 196 — INST._Y_CONTROL,TANKAGE,EN PROCESO DE COMPRA,BETA INDUSTRIAL LTDA.,2023-03-09,2023-02-27,No requiere inspección,-119,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-156,MEC._VÁLVULAS,196-MR-PI14-0951,8,ITEM DEMO 197 — MEC._VÁLVULAS,TANKAGE,EN TRÁNSITO,GAMMA SUPPLIES INC.,2023-09-09,2023-09-26,No requiere inspección,92,AMARILLO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-330,MEC._ACCESORIOS,197-MR-PI13-0454,34,ITEM DEMO 198 — MEC._ACCESORIOS,UTILITIES,RECIBIDO EN SITIO,GAMMA SUPPLIES INC.,2023-04-23,2023-02-07,No requiere inspección,-139,AMARILLO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-410,SEG._Y_SCI,198-MR-SC01-0729,35,ITEM DEMO 199 — SEG._Y_SCI,CRUDE UNIT,EN PROCESO DE COMPRA,ZETA FITTINGS CORP.,2023-12-22,2023-09-13,No requiere inspección,79,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-739,INST._Y_CONTROL,199-MR-IN01-0837,39,ITEM DEMO 200 — INST._Y_CONTROL,UTILITIES,EN PROCESO DE COMPRA,PROVEEDOR ALPHA S.A.,2023-11-30,2023-06-21,Liberado,-5,VERDE
